#,School Name,Description,Class Size,Women,Mean GMAT,Mean GPA,Avg GRE,Avg Work Exp (Years),Avg Starting Salary,Tuition (Total),Application Deadlines,Application Fee,GMAT/GRE Waiver Available,Class Profile,Admissions Rounds,Location,QS MBA Rank,FT Global MBA Rank,Bloomberg MBA Rank,Employment in 3 Months (%),Weighted Salary ($),Top Hiring Companies,Alumni Network Strength,Notable Alumni
1,"Babson College, F.W. Olin Graduate School of Business (Babson / Olin)","Located in Wellesley, MA, near Boston. Renowned for #1 MBA in entrepreneurship (U.S. News, 30+ years). Offers one-year and two-year full-time MBA programs, plus part-time and blended learning options. Features Entrepreneurial Thought & Action® methodology, emphasizing practical training, market analysis, and social responsibility. Curriculum includes 45 credits (15 core, 30 electives) and real-world projects like Babson Consulting Alliance.",~100 (Two-Year),33%,601,3.29,Not reported,6,"$1,16,935.00","$113,354 (Two-Year); $89,550 (One-Year)","R1: Oct 21, 2024; R2: Jan 13, 2025; R3: Mar 27, 2025; R4: May 7, 2025; R5: Jun 1, 2025; Rolling thereafter",$100.00,Yes,"85% international, 33% women, 38% domestic students of color. Avg work exp: 6 years. Avg GMAT: 601, Avg GPA: 3.29.","5""#",USA,NA,83,NA,59,147 292,EY; PwC; Apple; Accenture; Goldman Sachs; Google,Very strong in entrepreneurship,"Arthur Blank (Co-founder, Home Depot); Roger Enrico (Former CEO, PepsiCo); William Green (Former CEO, Accenture); Matt Coffin (Founder, LowerMyBills.com)"
2,"University of California, Berkeley, Haas School of Business (UC Berkeley / Haas)","Located in Berkeley, CA. Offers a full-time MBA with a focus on innovation, leadership, and social impact. Known for its ""Defining Leadership Principles"" (Question the Status Quo, Confidence Without Attitude, Students Always, Beyond Yourself). Features experiential learning, tech, and entrepreneurship. STEM-designated.",283,39%,716,3.64,326,5.5,"$1,99,893.00","$164,086 (2 years)","R1: Sep 12, 2024; R2: Jan 9, 2025; R3: Apr 3, 2025",$200.00,Yes,"37% international, 39% women, 38% U.S. minorities, 11% underrepresented U.S. minorities. Avg GPA: 3.64, Avg GMAT: 716, Avg GRE: 326.",3,USA,13,15,10,88,218 992,McKinsey; Google; Goldman Sachs; BCG; Amazon; Tesla,"Very strong, global reach","Shantanu Narayen (CEO, Adobe); Paul Otellini (Former CEO, Intel); Barbara Desoer (Former CEO, Citibank); Walter Haas Jr. (Chairman, Levi Strauss & Co.)"
3,"Boston College, Carroll School of Management (Boston College / Carroll)","Located in Chestnut Hill, MA. Offers a full-time MBA emphasizing ethics, leadership, and global perspective. Features a flexible curriculum with concentrations in analytics, finance, and marketing. Strong alumni network and Jesuit values.",77,38%,658,3.39,Not reported,5,"$1,41,986.00","$123,948 (2 years)","R1: Oct 15, 2024; R2: Jan 7, 2025; R3: Mar 11, 2025; R4: Apr 15, 2025",$100.00,Yes,"24% international, 38% women, 30% U.S. minorities, 8% underrepresented U.S. minorities. Avg GPA: 3.39, Avg GMAT: 658.",4,USA,NA,73,NA,94,147 515,Fidelity; Deloitte; KPMG; JPMorgan Chase; Bain & Co.; EY,Strong in finance,"Peter Lynch (Investor, Fidelity); John Kerry (U.S. Senator & ex-Sec. of State); Amy Poehler (Actress & Entrepreneur); Marty Walsh (Former U.S. Sec. of Labor)"
4,"Brigham Young University, Marriott School of Business (BYU / Marriott)","Located in Provo, UT. Offers a full-time MBA with a focus on ethics, entrepreneurship, and global supply chain. Known for low tuition, faith-based learning (LDS Church). Strong ROI and career placement, particularly in tech and consulting.",123,24%,672,3.55,321,5,"$1,35,000.00","$30,832 (2 years, LDS)","R1: Oct 15, 2024; R2: Jan 10, 2025; R3: Mar 15, 2025; R4: May 1, 2025",$50.00,Yes,"32% international, 24% women, 22% U.S. students. Avg GPA: 3.55, Avg GMAT: 672, Avg GRE: 321.",4,USA,NA,83,NA,87,151 772,Goldman Sachs; Bain & Co.; Adobe; Amazon; McKinsey; Microsoft,Strong in Utah & West Coast,"Mitt Romney (U.S. Senator & ex-Presidential Candidate); Kevin Rollins (Former CEO, Dell); Clayton Christensen (Harvard Professor & Author); David Neeleman (Founder, JetBlue)"
5,"University of Chicago, Booth School of Business (Chicago / Booth)","Located in Chicago, IL. Offers a flexible full-time MBA with a focus on analytical rigor, finance, and entrepreneurship. Known for Nobel laureate faculty and data-driven approach. Students customize curriculum with 20+ concentrations.",634,40%,729,3.59,326,5,"$1,98,315.00","$174,486 (2 years)","R1: Sep 19, 2024; R2: Jan 7, 2025; R3: Apr 3, 2025",$250.00,Yes,"36% international, 40% women, 33% U.S. minorities, 10% underrepresented U.S. minorities. Avg GPA: 3.59, Avg GMAT: 729, Avg GRE: 326.",3,USA,15,20,1,84,236 474,McKinsey; BCG; JPMorgan Chase; Goldman Sachs; Amazon; Bain & Co.,"Elite, global reach","Satya Nadella (CEO, Microsoft); Susan Wagner (Co-founder, BlackRock); David Booth (Co-founder, Dimensional Fund Advisors); Eric Gleacher (Founder, Gleacher & Co.)"
6,"Carnegie Mellon University, Tepper School of Business (CMU / Tepper)","Located in Pittsburgh, PA. Offers a STEM-designated full-time MBA with a focus on analytics, technology, and leadership. Known for quantitative rigor and small class size. Features Management Game and consulting projects.",183,29%,705,3.37,322,5.2,"$1,73,009.00","$148,400 (2 years)","R1: Oct 1, 2024; R2: Jan 7, 2025; R3: Mar 4, 2025; R4: Apr 8, 2025",$200.00,Yes,"39% international, 29% women, 39% U.S. minorities, 12% underrepresented U.S. minorities. Avg GPA: 3.37, Avg GMAT: 705, Avg GRE: 322.","4""#",USA,NA,49,9,95,178 194,Amazon; Microsoft; McKinsey; Google; Deloitte; PwC,Strong in tech & analytics,"David Coulter (Non-Exec Chair, Bank of America); Jim Rohr (Former CEO, PNC Financial); Rajiv L. Gupta (Former Chair, DuPont); Mark Cuban (Entrepreneur & Investor)"
7,Columbia Business School (Columbia),"Located in New York, NY. Offers a full-time MBA with access to finance, media, and tech industries. Known for its global perspective, flexible curriculum, and strong alumni network. Features January and August entry points.",614,39%,732,3.6,324,5,"$2,02,896.00","$174,816 (2 years)","R1: Sep 10, 2024; R2: Jan 7, 2025; R3: Apr 1, 2025 (Aug entry); Jan entry: Oct 1, 2024",$250.00,Yes,"37% international, 39% women, 37% U.S. minorities, 12% underrepresented U.S. minorities. Avg GPA: 3.60, Avg GMAT: 732, Avg GRE: 324.","3 (Aug), 1 (Jan)",USA,7,2,5,91%,"$2,42,747.00",McKinsey; Goldman Sachs; Morgan Stanley; BCG; Google; Amazon,"Elite, global reach","Warren Buffett (CEO, Berkshire Hathaway); Henry Kravis (Co-founder, KKR); Sallie Krawcheck (CEO, Ellevest); Vikram Pandit (Former CEO, Citigroup)"
8,"Cornell University, Johnson Graduate School of Management (Cornell / Johnson)","Located in Ithaca, NY, with NYC immersion options. Offers a two-year MBA and one-year STEM-designated MBA. Known for sustainability, finance, and tech focus. Features experiential learning and strong consulting placement.",283,37%,710,3.34,321,5.1,"$1,84,626.00","$162,580 (2 years)","R1: Sep 18, 2024; R2: Nov 1, 2024; R3: Jan 10, 2025; R4: Apr 2, 2025",$200.00,Yes,"39% international, 37% women, 35% U.S. minorities, 14% underrepresented U.S. minorities. Avg GPA: 3.34, Avg GMAT: 710, Avg GRE: 321.",4,USA,13,13,NA,79%,"$2,00,517.00",McKinsey; Deloitte; Amazon; Goldman Sachs; BCG; Microsoft,Strong in finance & consulting,"Ratan Tata (Chairman, Tata Group); Irene Rosenfeld (Former CEO, Mondelez); Sandy Weill (Former CEO, Citigroup); Bob Chapek (Former CEO, Disney)"
9,"Dartmouth College, Tuck School of Business (Dartmouth / Tuck)","Located in Hanover, NH. Offers a full-time MBA with a close-knit community and general management focus. Known for leadership development, teamwork, and outdoor activities. Strong alumni loyalty and consulting/finance placement.",287,43%,726,3.54,323,5,"$1,99,500.00","$172,500 (2 years)","R1: Sep 24, 2024; R2: Jan 6, 2025; R3: Mar 31, 2025",$250.00,Yes,"39% international, 43% women, 31% U.S. minorities, 11% underrepresented U.S. minorities. Avg GPA: 3.54, Avg GMAT: 726, Avg GRE: 323.",3,USA,57,20,NA,89%,"$2,11,135.00",McKinsey; Bain; BCG; Goldman Sachs; Amazon; Microsoft,"Very strong, tight-knit alumni","Christopher A. Sinclair (Former CEO, PepsiCo); Janet L. Robinson (Former CEO, The New York Times); Kevin McGrath (Managing Director, Morgan Stanley); Peter R. Dolan (Former CEO, Bristol-Myers Squibb)"
10,"Duke University, Fuqua School of Business (Duke / Fuqua)","Located in Durham, NC. Offers a full-time MBA with a focus on teamwork, leadership, and global business. Known for ""Team Fuqua"" culture, health sector management, and sustainability. STEM-designated tracks available.",385,39%,719,3.5,322,5.6,"$1,83,150.00","$151,200 (2 years)","R1: Sep 5, 2024; R2: Oct 10, 2024; R3: Jan 9, 2025; R4: Feb 20, 2025",$225.00,Yes,"40% international, 39% women, 34% U.S. minorities, 12% underrepresented U.S. minorities. Avg GPA: 3.50, Avg GMAT: 719, Avg GRE: 322.",4,USA,11,11,NA,82%,"$2,08,261.00",McKinsey; BCG; Amazon; Microsoft; Deloitte; Goldman Sachs,Strong in consulting & tech,"Tim Cook (CEO, Apple); Melinda Gates (Co-chair, Gates Foundation); John Allison (Former CEO, BB&T); David Rubenstein (Co-founder, Carlyle Group)"
11,"Emory University, Goizueta Business School (Emory / Goizueta)","Located in Atlanta, GA. Offers one- and two-year full-time MBA programs with a focus on leadership, analytics, and community. Known for personalized education, strong healthcare, and consulting placement. Small class size fosters collaboration.",125,32%,693,3.37,320,5,"$1,60,000.00","$149,200 (2 years)","R1: Oct 2, 2024; R2: Nov 1, 2024; R3: Jan 10, 2025; R4: Mar 7, 2025",$175.00,Yes,"34% international, 32% women, 33% U.S. minorities, 10% underrepresented U.S. minorities. Avg GPA: 3.37, Avg GMAT: 693, Avg GRE: 320.","4""#",USA,45,45,21,80%,"$1,88,815.00",McKinsey; Bain; Amazon; Deloitte; PwC; Coca-Cola,Strong in Southeast USA,"Roberto Goizueta (Former CEO, Coca-Cola); John Brock (Former CEO, Coca-Cola Enterprises); J. Paul Raines (Former CEO, GameStop); Susan Blakely (Founder, Career Success Strategies)"
12,"University of Florida, Warrington College of Business (Florida / Warrington)","Located in Gainesville, FL. Offers a full-time MBA with options for one- or two-year programs. Known for affordability, strong ROI, and focus on experiential learning. Features concentrations in finance, marketing, and strategy.",55,35%,672,3.44,310,5,"$1,20,000.00","$61,440 (2 years, in-state)","R1: Oct 15, 2024; R2: Jan 15, 2025; R3: Mar 15, 2025; R4: May 1, 2025",$30.00,Yes,"30% international, 35% women, 28% U.S. minorities. Avg GPA: 3.44, Avg GMAT: 672, Avg GRE: 310.",4,USA,48,48,37,90%,"$1,44,517.00",Bank of America; Deloitte; JPMorgan Chase; KPMG; PepsiCo; Procter & Gamble,Strong in finance & consulting,"Warrington alumni are highly placed in finance and consulting, but specific notable names are limited"
13,"Georgetown University, McDonough School of Business (Georgetown / McDonough)","Located in Washington, D.C. Offers a full-time MBA with a global focus, ethics, and leadership. Known for access to policy, international business, and consulting opportunities. Features Global Business Experience.",249,33%,696,3.34,317,5.4,"$1,75,000.00","$140,460 (2 years)","R1: Sep 1, 2024; R2: Jan 6, 2025; R3: Mar 4, 2025; R4: Apr 29, 2025",$175.00,Yes,"39% international, 33% women, 36% U.S. minorities, 11% underrepresented. Avg GPA: 3.34, Avg GMAT: 696, Avg GRE: 317.",4,USA,43,43,23,84%,"$1,92,142.00",McKinsey; BCG; Goldman Sachs; Amazon; Microsoft; Deloitte,Strong in international business,"Ivanka Trump (Former Advisor to U.S. President); Mike Grier (GM, San Jose Sharks); Ted Leonsis (Owner, Washington Capitals); Jim Kim (Former President, World Bank)"
14,"Harvard University, Harvard Business School (HBS)","Located in Boston, MA. Offers a full-time MBA with a case method approach, leadership focus, and global reputation. Known for extensive alumni network, entrepreneurship, and general management. Requires field-based learning and global immersion.",938,46%,740,3.73,326,5,"$2,25,000.00","$152,750 (2 years)","R1: Sep 4, 2024; R2: Jan 7, 2025",$250.00,Yes,"37% international, 46% women, 39% U.S. minorities, 13% underrepresented U.S. minorities. Avg GPA: 3.73, Avg GMAT: 740, Avg GRE: 326.",2,USA,2,13,1,77%,"$2,56,731.00",McKinsey; BCG; Goldman Sachs; Morgan Stanley; Amazon; Google,"Elite, global reach","Sheryl Sandberg (Former COO, Meta); Michael Bloomberg (Founder, Bloomberg LP); George W. Bush (Former U.S. President); Jamie Dimon (CEO, JPMorgan Chase)"
15,"University of Georgia, Terry College of Business (Georgia / Terry)","Located in Athens, GA. Offers a full-time two-year MBA with a focus on leadership, analytics, and career preparation. Known for affordability, small class size, and strong regional network. Concentrations include finance and consulting.",60,31%,672,3.4,312,5,"$1,25,000.00","$64,132 (2 years, in-state)","R1: Oct 1, 2024; R2: Jan 15, 2025; R3: Mar 15, 2025; R4: Apr 15, 2025",$100.00,Yes,"25% international, 31% women, 30% U.S. minorities. Avg GPA: 3.40, Avg GMAT: 672, Avg GRE: 312.",4,USA,55,55,NA,95%,"$1,41,733.00",Deloitte; PwC; EY; Bank of America; Coca-Cola; Accenture,Strong in Southeast USA,"Sonny Perdue (Former U.S. Secretary of Agriculture); Alton Brown (TV Personality & Entrepreneur); Michael Adams (Former President, University of Georgia); Dan Amos (CEO, Aflac)"
16,"Georgia Institute of Technology, Scheller College of Business (Georgia Tech / Scheller)","Located in Atlanta, GA. Offers a full-time MBA with a STEM focus, technology, and innovation. Known for analytics, operations, and entrepreneurship. Features hands-on projects and strong tech industry connections.",75,34%,680,3.34,314,4.8,"$1,45,000.00","$81,414 (2 years, in-state)","R1: Oct 11, 2024; R2: Jan 10, 2025; R3: Mar 7, 2025; R4: Apr 25, 2025",$75.00,Yes,"32% international, 34% women, 35% U.S. minorities, 10% underrepresented U.S. minorities. Avg GPA: 3.34, Avg GMAT: 680, Avg GRE: 314.","4""#",USA,50,58,20,88%,"$1,64,271.00",Amazon; Microsoft; McKinsey; Google; Deloitte; PwC,Strong in tech & analytics,"Chris Klaus (Founder, ISS); David Dorman (Former CEO, AT&T); Mike Duke (Former CEO, Walmart); John F. Brock (Former CEO, Coca-Cola Enterprises)"
17,"Indiana University Bloomington, Kelley School of Business (Indiana / Kelley)","Located in Bloomington, IN. Offers a full-time MBA with a focus on teamwork, analytics, and career development. Known for affordability, strong alumni network, and placement in marketing and consulting. STEM-designated tracks available.",166,34%,678,3.38,314,5,"$1,50,000.00","$108,174 (2 years, in-state)","R1: Oct 15, 2024; R2: Jan 5, 2025; R3: Mar 1, 2025; R4: Apr 15, 2025",$75.00,Yes,"38% international, 34% women, 30% U.S. minorities, 9% underrepresented. Avg GPA: 3.38, Avg GMAT: 678, Avg GRE: 314.",4,USA,44,56,31,95%,"$1,38,951.00",McKinsey; Deloitte; Amazon; Goldman Sachs; BCG; Microsoft,Strong in Midwest & consulting,"Mark Cuban (Entrepreneur & Investor); John Chambers (Former CEO, Cisco); Scott Dorsey (Co-founder, ExactTarget); Harold Arthur Poling (Former CEO, Ford Motor Company)"
18,"Johns Hopkins University, Carey Business School (JHU / Carey)","Located in Baltimore, MD. Offers a full-time MBA with a focus on healthcare, analytics, and social impact. Known for interdisciplinary approach, leveraging JHU’s medical and public health expertise. Small class size and flexible curriculum.",80,40%,650,3.4,312,4.5,"$1,35,000.00","$149,600 (2 years)","R1: Oct 1, 2024; R2: Jan 7, 2025; R3: Mar 4, 2025; R4: Apr 29, 2025",$100.00,Yes,"50% international, 40% women, 35% U.S. minorities. Avg GPA: 3.40, Avg GMAT: 650, Avg GRE: 312.",4,USA,NA,NA,NA,87%,"$1,27,500.00",Amazon; Deloitte; PwC; Bank of America; McKinsey; Microsoft,"Moderate, strong in healthcare & analytics","Michael Bloomberg (Founder, Bloomberg LP); Wes Unseld Jr. (NBA Coach); Brian Rogers (Former Chairman, T. Rowe Price); Ronald J. Daniels (President, Johns Hopkins University)"
19,"University of Pennsylvania, Lauder Institute of Management & International Studies (UPenn / Lauder)","Located in Philadelphia, PA. Offers a joint MBA/MA in International Studies with Wharton, focusing on global leadership and language proficiency. Known for immersive international experiences, cross-cultural management, and elite placement.",70,42%,733,3.6,324,5,"$2,00,000.00","$174,816 (2 years)","R1: Sep 10, 2024; R2: Jan 7, 2025; R3: Apr 1, 2025",$275.00,Yes,"45% international, 42% women, 33% U.S. minorities, 10% underrepresented. Avg GPA: 3.60, Avg GMAT: 733, Avg GRE: 324.",3,USA,NA,NA,NA,NA,NA,McKinsey; BCG; Goldman Sachs; Morgan Stanley; Amazon; Google,"Elite, global reach","Donald Trump Jr. (Executive VP, Trump Organization); Ivanka Trump (Former Advisor to U.S. President); Alex Gorsky (Former CEO, Johnson & Johnson); Elon Musk (CEO, Tesla & SpaceX)"
20,"University of Maryland, Robert H. Smith School of Business (Maryland / Smith)","Located in College Park, MD. Offers a full-time MBA with a focus on analytics, technology, and entrepreneurship. Known for proximity to D.C., strong finance and supply chain programs, and experiential learning. STEM-designated.",90,38%,664,3.3,310,5,"$1,40,000.00","$115,848 (2 years, in-state)","R1: Nov 1, 2024; R2: Jan 15, 2025; R3: Mar 15, 2025; R4: May 1, 2025",$75.00,Yes,"40% international, 38% women, 32% U.S. minorities, 12% underrepresented. Avg GPA: 3.30, Avg GMAT: 664, Avg GRE: 310.",4,USA,62,57,33,88%,"$1,50,997.00",Amazon; Deloitte; PwC; Bank of America; McKinsey; Microsoft,Strong in Mid-Atlantic,"Kevin Plank (Founder, Under Armour); Larry Hogan (Former Governor, Maryland); Barry Gossett (CEO, Acton Mobile)"
21,"University of Michigan, Ross School of Business (Michigan / Ross)","Located in Ann Arbor, MI. Offers a full-time MBA with a focus on action-based learning, leadership, and sustainability. Known for MAP (Multidisciplinary Action Projects), strong alumni network, and placement in consulting and tech. STEM-designated tracks.",380,41%,719,3.5,322,5,"$1,85,000.00","$149,000 (2 years, in-state)","R1: Sep 10, 2024; R2: Jan 7, 2025; R3: Mar 25, 2025; R4: May 6, 2025",$200.00,Yes,"37% international, 41% women, 35% U.S. minorities, 11% underrepresented. Avg GPA: 3.50, Avg GMAT: 719, Avg GRE: 322.","4""#",USA,29,29,4,84%,"$2,02,264.00",McKinsey; BCG; Amazon; Microsoft; Deloitte; Goldman Sachs,"Very strong, global reach","Stephen M. Ross (Real Estate Developer); John DeLorean (Automotive Engineer); Larry Page (Co-founder, Google)"
22,"Michigan State University, Broad College of Business (MSU / Broad)","Located in East Lansing, MI. Offers a full-time MBA with a focus on supply chain management, leadership, and analytics. Known for experiential learning, strong corporate connections, and affordability.",80,34%,660,3.35,310,4.8,"$1,30,000.00","$81,234 (2 years, in-state)","R1: Oct 1, 2024; R2: Jan 15, 2025; R3: Mar 1, 2025; R4: Apr 15, 2025",$85.00,Yes,"35% international, 34% women, 28% U.S. minorities, 10% underrepresented. Avg GPA: 3.35, Avg GMAT: 660, Avg GRE: 310.",4,USA,NA,43,NA,94%,"$1,43,697.00",Deloitte; PwC; EY; Bank of America; Coca-Cola; Accenture,Strong in Midwest & supply chain,"Dan Gilbert (Owner, Cleveland Cavaliers); Eli Broad (Philanthropist & Businessman); Robert Stempel (Former CEO, General Motors)"
23,"University of Minnesota, Carlson School of Management (Minnesota / Carlson)","Located in Minneapolis, MN. Offers a full-time MBA with a focus on experiential learning, analytics, and global business. Known for strong placement in marketing, finance, and consulting, with a collaborative culture.",95,37%,665,3.4,312,5,"$1,40,000.00","$108,140 (2 years, in-state)","R1: Nov 1, 2024; R2: Jan 5, 2025; R3: Feb 1, 2025; R4: Apr 1, 2025",$75.00,Yes,"33% international, 37% women, 30% U.S. minorities, 9% underrepresented. Avg GPA: 3.40, Avg GMAT: 665, Avg GRE: 312.",4,USA,71,71,38,88%,"$1,32,700.00",McKinsey; Bain; Amazon; Deloitte; PwC; Coca-Cola,Strong in Midwest & analytics,"Richard Schulze (Founder, Best Buy); Marilyn Carlson Nelson (Former CEO, Carlson Companies); William Norris (Founder, Control Data Corporation)"
24,MIT Sloan School of Management (MIT / Sloan),"Located in Cambridge, MA. Offers a full-time MBA with a focus on innovation, analytics, and entrepreneurship. Known for rigorous quantitative approach, tech industry ties, and global impact. Features Action Learning labs and STEM designation.",408,40%,730,3.62,325,5,"$2,00,000.00","$165,200 (2 years)","R1: Sep 24, 2024; R2: Jan 14, 2025; R3: Apr 8, 2025",$250.00,Yes,"38% international, 40% women, 35% U.S. minorities, 12% underrepresented. Avg GPA: 3.62, Avg GMAT: 730, Avg GRE: 325.",3,USA,5,6,10,77%,"$2,32,565.00",McKinsey; BCG; Goldman Sachs; Morgan Stanley; Amazon; Google,"Elite, global reach","Bill Ford (Executive Chairman, Ford Motor Company); Carly Fiorina (Former CEO, HP); Benjamin Netanyahu (Prime Minister, Israel)"
25,"Northwestern University, Kellogg School of Management (Northwestern / Kellogg)","Located in Evanston, IL, near Chicago. Offers a full-time MBA with a focus on collaboration, leadership, and global perspective. Known for teamwork culture, marketing expertise, and flexible curriculum. One-year and two-year MBA options available.",529,41%,729,3.7,326,5.1,"$1,95,000.00","$166,068 (2 years)","R1: Sep 11, 2024; R2: Jan 8, 2025; R3: Apr 2, 2025",$250.00,Yes,"37% international, 41% women, 34% U.S. minorities, 11% underrepresented. Avg GPA: 3.70, Avg GMAT: 729, Avg GRE: 326.",3,USA,10,10,7,87%,"$2,19,487.00",McKinsey; BCG; Goldman Sachs; Amazon; Microsoft; Deloitte,"Elite, global reach","Ted Phillips (CEO, Chicago Bears); Arthur Martinez (Former CEO, Sears); Susan E. Arnold (Former Chair, Disney)"
26,"University of Notre Dame, Mendoza College of Business (Notre Dame / Mendoza)","Located in Notre Dame, IN. Offers a full-time MBA with a focus on ethics, leadership, and social impact. Known for values-driven education, strong alumni network, and placement in consulting and finance. One-year and two-year MBA options available.",132,33%,675,3.4,314,5,"$1,55,000.00","$128,500 (2 years)","R1: Sep 10, 2024; R2: Jan 7, 2025; R3: Mar 4, 2025; R4: Apr 15, 2025",$175.00,Yes,"30% international, 33% women, 32% U.S. minorities, 10% underrepresented. Avg GPA: 3.40, Avg GMAT: 675, Avg GRE: 314.","4""#",USA,NA,75,NA,72%,"$1,65,725.00",McKinsey; Deloitte; Amazon; Goldman Sachs; BCG; Microsoft,Strong in Midwest & ethics,"Joe Kernan (Former Governor, Indiana); Regis Philbin (TV Host); Condoleezza Rice (Former U.S. Secretary of State)"
27,"New York University, Stern School of Business (NYU / Stern)","Located in New York, NY. Offers a full-time MBA with a focus on finance, marketing, and tech. Known for access to global industries, flexible curriculum, and strong alumni network. Features specializations like luxury marketing and fintech.",360,42%,732,3.62,324,5,"$2,00,000.00","$170,400 (2 years)","R1: Sep 16, 2024; R2: Oct 16, 2024; R3: Jan 15, 2025; R4: Mar 15, 2025",$250.00,Yes,"39% international, 42% women, 36% U.S. minorities, 12% underrepresented. Avg GPA: 3.62, Avg GMAT: 732, Avg GRE: 324.",4,USA,31,31,12,85%,"$2,08,236.00",McKinsey; Goldman Sachs; Morgan Stanley; BCG; Google; Amazon,"Elite, strong in finance","Henry Kravis (Co-founder, KKR); Alan Greenspan (Former Chairman, Federal Reserve); Richard S. Fuld Jr. (Former CEO, Lehman Brothers)"
28,"Ohio State University, Fisher College of Business (Ohio State / Fisher)","Located in Columbus, OH. Offers a full-time MBA with a focus on leadership, analytics, and experiential learning. Known for affordability, strong operations and finance programs, and corporate connections. STEM-designated tracks available.",80,35%,670,3.38,312,4.8,"$1,35,000.00","$110,856 (2 years, in-state)","R1: Oct 15, 2024; R2: Jan 5, 2025; R3: Feb 15, 2025; R4: Apr 15, 2025",$60.00,Yes,"33% international, 35% women, 30% U.S. minorities, 10% underrepresented. Avg GPA: 3.38, Avg GMAT: 670, Avg GRE: 312.",4,USA,NA,37,39,87%,"$1,45,450.00",Bank of America; Deloitte; JPMorgan Chase; KPMG; PepsiCo; Procter & Gamble,Strong in Midwest & finance,"Les Wexner (Founder, L Brands); Chris Spielman (NFL Analyst & Former Player); Jim Tressel (Former Ohio State Football Coach)"
29,"Rice University, Jones Graduate School of Business (Rice / Jones)","Located in Houston, TX. Offers a full-time MBA with a focus on energy, healthcare, and entrepreneurship. Known for small class size, personalized education, and strong Texas business network. Features hands-on learning and STEM designation.",165,34%,688,3.4,316,5,"$1,60,000.00","$140,000 (2 years)","R1: Oct 1, 2024; R2: Jan 7, 2025; R3: Mar 25, 2025; R4: Apr 29, 2025",$200.00,Yes,"35% international, 34% women, 38% U.S. minorities, 11% underrepresented. Avg GPA: 3.40, Avg GMAT: 688, Avg GRE: 316.",4,USA,NA,39,NA,72%,"$1,82,324.00",McKinsey; BCG; Goldman Sachs; Amazon; Microsoft; Deloitte,Strong in Texas & energy,"John Doerr (Venture Capitalist, Kleiner Perkins); Bobby Tudor (Founder, Tudor, Pickering, Holt & Co.); Jim Hackett (Former CEO, Ford Motor Company)"
30,"University of Rochester, Simon Business School (Rochester / Simon)","Located in Rochester, NY. Offers a full-time MBA with a focus on analytics, finance. Known for quantitative rigor, affordability, and strong ROI. Features STEM designation and flexible curriculum with merit-based scholarships.",105,37%,678,3.45,314,4.5,"$1,45,000.00","$104,000 (2 years)","R1: Oct 15, 2024; R2: Jan 5, 2025; R3: Mar 15, 2025; R4: May 1, 2025",$75.00,Yes,"45% international, 37% women, 28% U.S. minorities, 9% underrepresented. Avg GPA: 3.45, Avg GMAT: 678, Avg GRE: 314.",4,USA,90,60,28,87%,"$1,68,298.00",McKinsey; Deloitte; Amazon; Goldman Sachs; BCG; Microsoft,Strong in finance & analytics,"Chuck Zegar (Co-founder, Bloomberg LP); Richard B. Handler (CEO, Jefferies); Antonio Pérez (Former CEO, Kodak)"
31,"Southern Methodist University, Cox School of Business (SMU / Cox)","Located in Dallas, TX. Offers a full-time MBA with a focus on finance, marketing, and leadership. Known for strong regional network, experiential learning, and placement in energy and consulting. Small class size fosters collaboration.",95,33%,675,3.35,312,5,"$1,50,000.00","$104,160 (2 years)","R1: Oct 7, 2024; R2: Jan 13, 2025; R3: Mar 3, 2025; R4: Apr 28, 2025",$75.00,Yes,"30% international, 33% women, 32% U.S. minorities, 10% underrepresented. Avg GPA: 3.35, Avg GMAT: 675, Avg GRE: 312.","4""#",USA,NA,NA,21,97%,NA,Deloitte; JPMorgan Chase; AT&T; EY; PwC; Bank of America,Strong in Texas & energy,"Gerald J. Ford (Billionaire Banker); Lamar Hunt (Founder, American Football League); Ray L. Hunt (CEO, Hunt Oil Company)"
